0|0|3|Bubbles|Betta fish|2019-04-15|Bubbles is a feisty fish who loves to explore her tank and show off her beautiful fins.
0|1|2|Finn|Neon tetra|2018-11-22|Finn is a curious fish who loves to swim around with his school and play hide-and-seek with his tank mates.
0|2|1|Gigi|GloFish|2017-08-01|Gigi is a vibrant fish who loves to show off her bright colors and dart around her tank.
1|3|4|Fluffy|Goldfish|2020-02-14|Fluffy is a playful fish who loves to chase after bubbles and nibble on plants in his tank.
1|4|0|Spike|Siamese fighting fish|2019-12-10|Spike is a fierce fish who loves to flare his fins and show off his beautiful colors.
1|5|3|Spot|Angelfish|2018-07-05|Spot is a graceful fish who loves to glide around her tank and watch the world outside.
2|6|1|Bubbles|Betta fish|2021-01-01|Bubbles is a happy fish who loves to wiggle her tail and play hide-and-seek with her tank mates.
2|7|0|Finn|Neon tetra|2020-10-12|Finn is a friendly fish who loves to swim around his tank and greet his owner.
2|8|4|Gigi|GloFish|2019-05-23|Gigi is a playful fish who loves to follow her owner's finger and explore her tank.
3|9|2|Fluffy|Goldfish|2020-12-25|Fluffy is a curious fish who loves to investigate his tank and watch the world outside.
3|10|3|Spike|Siamese fighting fish|2018-09-03|Spike is a fierce fish who loves to flare his fins and show off his beautiful colors.
3|11|1|Spot|Angelfish|2017-04-08|Spot is a graceful fish who loves to glide around her tank and watch the world outside.
4|12|0|Bubbles|Betta fish|2021-02-14|Bubbles is a happy fish who loves to wiggle her tail and play hide-and-seek with her tank mates.
4|13|4|Finn|Neon tetra|2020-06-19|Finn is a curious fish who loves to swim around his tank and explore new places.
4|14|2|Gigi|GloFish|2019-08-30|Gigi is a playful fish who loves to follow her owner's finger and explore her tank.
5|15|3|Fluffy|Goldfish|2021-03-11|Fluffy is a curious fish who loves to investigate his tank and watch the world outside.
5|16|1|Spike|Siamese fighting fish|2020-01-27|Spike is a fierce fish who loves to flare his fins and show off his beautiful colors.
5|17|0|Spot|Angelfish|2019-06-04|Spot is a graceful fish who loves to glide around her tank and watch the world outside.
